timestamp,symbol,side,price,quantity
2020-09-24,AAPL,SELL,109.43,10
2020-10-02,AAPL,BUY,112.09,10
2020-10-12,AAPL,SELL,111.02,10
2020-10-15,AAPL,BUY,112.17,10
2020-10-28,AAPL,SELL,112.5,10
2020-11-13,AAPL,BUY,112.92,10
2021-03-01,AAPL,SELL,124.33,10
2021-04-16,AAPL,BUY,120.54,10
2021-05-21,AAPL,SELL,123.64,10
2021-06-25,AAPL,BUY,124.77,10
2021-09-29,AAPL,SELL,123.26,10
2021-11-01,AAPL,BUY,138.43,10
2022-02-02,AAPL,SELL,123.26,10
2022-02-14,AAPL,BUY,147.19,10
2022-03-01,AAPL,SELL,123.26,10
2022-04-06,AAPL,BUY,157.06,10
2022-05-02,AAPL,SELL,160.57,10
2022-07-26,AAPL,BUY,144.07,10
2022-09-21,AAPL,SELL,154.7,10
2022-12-02,AAPL,BUY,147.79,10
2022-12-27,AAPL,SELL,144.89,10
2023-02-10,AAPL,BUY,140.45,10
2023-08-25,AAPL,SELL,148.06,10
2023-09-22,AAPL,BUY,167.22,10
2023-09-27,AAPL,SELL,148.06,10
2023-11-01,AAPL,BUY,170.07,10
2023-11-09,AAPL,SELL,168.69,10
2023-11-29,AAPL,BUY,170.73,10
